family,workload_layers,one_qubit_noise,two_qubit_noise,total_cnot_budget,split_shots,split_mse,split_rmse,dilation_shots,dilation_mse,dilation_rmse,genexp_shots,genexp_mse,genexp_rmse,dil_vs_split_mse_ratio,dil_vs_genexp_mse_ratio
jordan_gamma_1,3,2.5e-05,0.0005,100000.0,4166,0.006831593443595317,0.08265345391207386,3846,0.007983676905216742,0.08935142363284841,1162,0.053675485064632635,0.23167970360960113,1.1686405186628186,0.1487397253253194
jordan_gamma_1,3,5e-05,0.001,1000.0,41,0.088868894719032,0.29810886387196206,38,0.09042854572558384,0.3007133946560809,11,0.3889956865250842,0.6236951871908939,1.017550021427439,0.23246670556526236
jordan_gamma_1,3,5e-05,0.001,10000.0,416,0.027900021055488326,0.16703299391284443,384,0.03134805905711514,0.17705383095859614,116,0.14920777921983489,0.3862742280036747,1.123585498189025,0.21009668008615393
jordan_gamma_1,3,5e-05,0.001,100000.0,4166,0.02189972383944106,0.14798555280648534,3846,0.025507299267530377,0.1597100474845912,1162,0.12659488141265351,0.35580174453289787,1.1647315488788095,0.2014876034709951
jordan_gamma_1,3,7.500000000000001e-05,0.0015,1000.0,41,0.11016812875213353,0.3319158458888842,38,0.11409867217687411,0.3377849496008875,11,0.44690802487214176,0.6685117986035413,1.035677681642246,0.2553068323387507
jordan_gamma_1,3,7.500000000000001e-05,0.0015,10000.0,416,0.04795698037105204,0.21899082257266408,384,0.054088115295134326,0.23256851742042456,116,0.20393387436075872,0.4515903833794058,1.1278465590753328,0.2652237911169801
jordan_gamma_1,3,7.500000000000001e-05,0.0015,100000.0,4166,0.041834423761296056,0.2045346517372938,3846,0.048155407774420546,0.21944340449058966,1162,0.1810205018848635,0.4254650419069274,1.1510952809865753,0.2660218443381036
jordan_gamma_1,3,0.0001,0.002,1000.0,41,0.13329282069766935,0.36509289324454036,38,0.13933695131753418,0.37327865103369384,11,0.4834242969723853,0.69528720466609,1.0453447574162598,0.2882291026540884
jordan_gamma_1,3,0.0001,0.002,10000.0,416,0.07015086746798566,0.2648600903646785,384,0.07868061165410953,0.280500644658991,116,0.23885315632279178,0.4887260544750932,1.1215914285025277,0.32940997249280096
jordan_gamma_1,3,0.0001,0.002,100000.0,4166,0.06393670500419057,0.2528570841487155,3846,0.07268406136031169,0.26959981706283054,1162,0.21578918169518566,0.46453114179265276,1.1368127487262254,0.3368290328056483
jordan_gamma_1,3,0.00015000000000000001,0.003,1000.0,41,0.17889605090544838,0.42296105128657935,38,0.18761763675929527,0.43314851582257013,11,0.5181455390980596,0.7198232693502341,1.0487522547854145,0.3620944746255712
jordan_gamma_1,3,0.00015000000000000001,0.003,10000.0,416,0.11453152522100249,0.33842506588756466,384,0.12620567892689455,0.3552543862176716,116,0.27215572184809034,0.5216854625615807,1.1019296100646994,0.46372598036847085
