schedule_index,theta_1,theta_2,method,true_score,noisy_mean_score,noisy_per_shot_variance,cx_cost_per_evaluation
33,-0.39269908169872414,-0.39269908169872414,dilation,0.45172274146765273,0.3296758155514403,0.4277823042012566,10.0
33,-0.39269908169872414,-0.39269908169872414,genexp,0.45172274146765273,0.10372456601153189,0.5739591990169953,54.0
34,-0.39269908169872414,0.0,split,0.4426683614663711,0.3452031310994828,0.46879048862634465,8.0
34,-0.39269908169872414,0.0,dilation,0.4426683614663711,0.3231026817872603,0.44050486444396364,10.0
34,-0.39269908169872414,0.0,genexp,0.4426683614663711,0.10261146627895917,0.571037771112268,54.0
35,-0.39269908169872414,0.39269908169872414,split,0.39327164940875275,0.3069517477514808,0.48627762602918373,8.0
35,-0.39269908169872414,0.39269908169872414,dilation,0.39327164940875275,0.2872969588806019,0.4539288277642371,10.0
35,-0.39269908169872414,0.39269908169872414,genexp,0.39327164940875275,0.09139618033622916,0.5700554833060906,54.0
36,0.0,-0.39269908169872414,split,0.45440492458022935,0.3549864287215654,0.4754603626306081,8.0
36,0.0,-0.39269908169872414,dilation,0.45440492458022935,0.3322407850576107,0.4314853883897304,10.0
36,0.0,-0.39269908169872414,genexp,0.45440492458022935,0.10425160939842743,0.5763892230939611,54.0
37,0.0,0.39269908169872414,split,0.4164744938764483,0.32540756178896446,0.480662282407655,8.0
37,0.0,0.39269908169872414,dilation,0.4164744938764483,0.3045623957457076,0.44911107097145914,10.0
37,0.0,0.39269908169872414,genexp,0.4164744938764483,0.09676698426224296,0.5715636801514533,54.0
38,0.39269908169872414,-0.39269908169872414,split,0.41609367348466614,0.32548902087835774,0.49739973325815756,8.0
38,0.39269908169872414,-0.39269908169872414,dilation,0.41609367348466614,0.3046254376189148,0.4436717228248961,10.0
38,0.39269908169872414,-0.39269908169872414,genexp,0.41609367348466614,0.09512342823942098,0.5789930614967247,54.0
39,0.39269908169872414,0.0,split,0.4285099014699435,0.33493384221331207,0.4837034859922274,8.0
39,0.39269908169872414,0.0,dilation,0.4285099014699435,0.31347448074098044,0.4466339681512177,10.0
39,0.39269908169872414,0.0,genexp,0.4285099014699435,0.09895352616301886,0.5750873556873596,54.0
40,0.39269908169872414,0.39269908169872414,split,0.40550957131742704,0.3169436637542755,0.4879721346605246,8.0
40,0.39269908169872414,0.39269908169872414,dilation,0.40550957131742704,0.29663673215754893,0.4484750548634526,10.0
40,0.39269908169872414,0.39269908169872414,genexp,0.40550957131742704,0.09387894015234063,0.5728997563035898,54.0
