family,method,total_cnot_budget,shots,ideal_mse,ideal_rmse,noisy_mse,noisy_rmse,noisy_bias_squared
jordan_gamma_1,split,17095.299442342995,2136,0.0011735846949243879,0.03425762243537032,0.042491430861098835,0.20613449701856998,0.041186222853296255
jordan_gamma_1,split,17458.58864759136,2182,0.0011488436793576958,0.03389459661004532,0.04246391501858787,0.20606774376060866,0.041186222853296255
jordan_gamma_1,split,17829.598047919964,2228,0.0011251242856187128,0.03354287235194257,0.042437535377832306,0.2060037266115162,0.041186222853296255
jordan_gamma_1,split,18208.49170383826,2276,0.0011013958296829931,0.03318728415648067,0.042411145658509924,0.20593966509274003,0.041186222853296255
jordan_gamma_1,split,18595.43716227668,2324,0.0010786475509287833,0.03284277014700166,0.04238584604807522,0.20587823111751088,0.041186222853296255
jordan_gamma_1,split,18990.605530676094,2373,0.001056374592650018,0.03250191675347806,0.042361075067652056,0.20581806302570252,0.041186222853296255
jordan_gamma_1,split,19394.17155265149,2424,0.0010341488895868368,0.03215818542123975,0.04233635664235001,0.20575800505047187,0.041186222853296255
jordan_gamma_1,split,19806.313685263838,2475,0.00101283915489232,0.03182513401216592,0.04231265691578769,0.2057004057258704,0.041186222853296255
jordan_gamma_1,split,20227.214177933605,2528,0.0009916047896987707,0.031489756901233304,0.042289041011787674,0.2056429940741665,0.041186222853296255
jordan_gamma_1,split,20657.059153031834,2582,0.0009708663471566585,0.0311587282660358,0.04226597665061086,0.20558690778016692,0.041186222853296255
jordan_gamma_1,split,21096.03868818326,2637,0.0009506169542504711,0.030832076709986164,0.04224345618839914,0.20553212933358897,0.041186222853296255
jordan_gamma_1,split,21544.346900318822,2693,0.0009308492047376503,0.030509821447161082,0.04222147138826332,0.20547863973723235,0.041186222853296255
jordan_gamma_1,split,22002.182031514396,2750,0.0009115552394030882,0.030191973095561146,0.04220001350953855,0.2054264187234411,0.041186222853296255
jordan_gamma_1,split,22469.746536653198,2808,0.0008927268192159873,0.02987853442215644,0.04217907338914608,0.20537544495179086,0.041186222853296255
jordan_gamma_1,split,22947.24717295179,2868,0.0008740505259269499,0.029564345518325784,0.042158302457433745,0.20532487052822837,0.041186222853296255
jordan_gamma_1,split,23434.895091387883,2929,0.0008558473568994511,0.029254868943467363,0.042138057713202816,0.20527556530966568,0.041186222853296255
jordan_gamma_1,split,23932.90593007157,2991,0.0008381066226541265,0.028950071202919803,0.04211832726809609,0.20522750124702122,0.041186222853296255
jordan_gamma_1,split,24441.499909600483,3055,0.0008205489061729926,0.02864522484067794,0.04209880036709865,0.20517992193949838,0.041186222853296255
jordan_gamma_1,split,24960.90193044159,3120,0.0008034541372943885,0.028345266576527174,0.0420797883355611,0.20513358656144318,0.041186222853296255
jordan_gamma_1,split,25491.341672382172,3186,0.0007868100779530736,0.02805013507905218,0.042061277562858816,0.20508846277364998,0.041186222853296255
jordan_gamma_1,split,26033.053696094226,3254,0.0007703678267850315,0.027755500838302874,0.04204299123211196,0.20504387635848081,0.041186222853296255
jordan_gamma_1,split,26586.27754685743,3323,0.000754371624543633,0.027465826485719175,0.04202520097687926,0.20500049018692432,0.041186222853296255
jordan_gamma_1,split,27151.25786048606,3393,0.0007388084021097826,0.02718103018853006,0.04200789226227542,0.20495826956303914,0.041186222853296255
jordan_gamma_1,split,27728.24447150728,3466,0.0007232478096821963,0.02689326699533168,0.04199058647264603,0.20491604737708083,0.041186222853296255
jordan_gamma_1,split,28317.492523637666,3539,0.0007083291631417045,0.02661445402674465,0.04197399462630171,0.20487555887977882,0.041186222853296255
jordan_gamma_1,split,28919.262582608328,3614,0.0006936294710455153,0.026336846262328285,0.04195764629122274,0.2048356567866609,0.041186222853296255
jordan_gamma_1,split,29533.820751386782,3691,0.0006791592815926557,0.026060684595625182,0.041941553198640694,0.20479637008170015,0.041186222853296255
jordan_gamma_1,split,30161.43878784795,3770,0.0006649275618988043,0.02578618936366528,0.041925725321377505,0.2047577234718571,0.041186222853296255
jordan_gamma_1,split,30802.3942249458,3850,0.0006511108852879201,0.025516874520362404,0.041910359036326464,0.20472019694286753,0.041186222853296255
jordan_gamma_1,split,31456.970493438104,3932,0.0006375322757778464,0.025249401493458147,0.041895257518775986,0.2046833103083297,0.041186222853296255
jordan_gamma_1,split,32125.457047220123,4015,0.0006243529037007453,0.024987054722410668,0.041880600015106045,0.20464750185405647,0.041186222853296255
jordan_gamma_1,split,32808.149491320815,4101,0.0006112599142546921,0.024723671132230587,0.04186603858230535,0.20461192189680774,0.041186222853296255
