method,total_cnot_budget,trial_id,shots_per_evaluation,schedule_cx_cost,selected_theta_1,selected_theta_2,reported_best_score,selected_true_score,dense_grid_optimum_score,regret
split,31622.776601683792,36,96,328.0,0.39269908169872414,0.39269908169872414,0.43469714706367135,0.40550957131742704,0.46117153202478534,0.05566196070735829
split,31622.776601683792,37,96,328.0,0.0,0.0,0.4975499629788588,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,38,96,328.0,-0.39269908169872414,0.0,0.4841343906975809,0.4426683614663711,0.46117153202478534,0.018503170558414217
split,31622.776601683792,39,96,328.0,0.0,-0.7853981633974483,0.4628938959069918,0.41498393828054037,0.46117153202478534,0.04618759374424497
split,31622.776601683792,40,96,328.0,0.39269908169872414,-0.39269908169872414,0.4038174443636497,0.41609367348466614,0.46117153202478534,0.0450778585401192
split,31622.776601683792,41,96,328.0,0.0,0.0,0.4153961832359103,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,42,96,328.0,0.0,0.0,0.5007754543038387,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,43,96,328.0,0.0,0.0,0.4232501608665169,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,44,96,328.0,-0.39269908169872414,0.0,0.4644771457625605,0.4426683614663711,0.46117153202478534,0.018503170558414217
split,31622.776601683792,45,96,328.0,0.0,-0.39269908169872414,0.40816277363316017,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,31622.776601683792,46,96,328.0,0.0,0.0,0.47828685910283575,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,47,96,328.0,0.39269908169872414,0.0,0.5044550412993555,0.4285099014699435,0.46117153202478534,0.032661630554841836
split,31622.776601683792,48,96,328.0,0.0,0.0,0.4322871984093751,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,49,96,328.0,0.0,-0.7853981633974483,0.3637520501569059,0.41498393828054037,0.46117153202478534,0.04618759374424497
split,31622.776601683792,50,96,328.0,-0.39269908169872414,-0.39269908169872414,0.4977600425037223,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,31622.776601683792,51,96,328.0,0.0,-0.39269908169872414,0.39146879350974934,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,31622.776601683792,52,96,328.0,0.39269908169872414,0.39269908169872414,0.38992831776115905,0.40550957131742704,0.46117153202478534,0.05566196070735829
split,31622.776601683792,53,96,328.0,-0.39269908169872414,0.0,0.451830697766199,0.4426683614663711,0.46117153202478534,0.018503170558414217
split,31622.776601683792,54,96,328.0,0.0,0.0,0.5110505036196897,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,55,96,328.0,0.0,0.0,0.4555330308638131,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,56,96,328.0,0.39269908169872414,0.39269908169872414,0.49243505339155647,0.40550957131742704,0.46117153202478534,0.05566196070735829
split,31622.776601683792,57,96,328.0,0.0,-0.39269908169872414,0.5173351514771483,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,31622.776601683792,58,96,328.0,0.0,0.0,0.5171956740982906,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,31622.776601683792,59,96,328.0,0.0,0.39269908169872414,0.4637314211261161,0.4164744938764483,0.46117153202478534,0.04469703814833703
split,31622.776601683792,60,96,328.0,0.39269908169872414,0.0,0.4317632083477644,0.4285099014699435,0.46117153202478534,0.032661630554841836
split,31622.776601683792,61,96,328.0,-0.39269908169872414,0.0,0.6097995207300361,0.4426683614663711,0.46117153202478534,0.018503170558414217
split,31622.776601683792,62,96,328.0,-0.39269908169872414,0.0,0.3872424525599329,0.4426683614663711,0.46117153202478534,0.018503170558414217
